Estimate,Std. Error,MCMC %,z value,Pr(>|z|),var,est_std
2.669156911180892,5.052610673489368,0,0.5282728244204009,0.5973099905093839,edges,2.67 (5.05)
-8.278935149592154,2.0573068864815616,0,-4.024161491896291,5.717867257698035e-5,gwb1deg.fixed.3.2,-8.28 (2.06)
3.38307099258621,6.0726572590931704,0,0.5570989516196414,0.5774598238060905,gwb2deg.fixed.4.5,3.38 (6.07)
0.6085466525197871,0.24823141278437824,0,2.4515295856144936,0.014225049198091557,b1factor.scale.subbasin,0.61 (0.25)
0.3899790632370635,0.43388717298698376,0,0.89880293199809,0.36875763810478374,b2factor.scale.subbasin,0.39 (0.43)
0.7444226045429085,0.29122779848551933,0,2.5561522918284303,0.010583678701345734,nodematch.scale,0.74 (0.29)
-0.948838898487542,0.48208235837178054,0,-1.9682091286066108,0.04904398036739581,b2factor.work.ag.TRUE,-0.95 (0.48)
0.6658134231915412,0.42013822745613144,0,1.5847484939014789,0.11302348902978318,b2factor.work.dev.TRUE,0.67 (0.42)
0.2109961339129139,0.2700539090072505,0,0.7813111637174969,0.43461950574862607,nodematch.work.ag,0.21 (0.27)
0.7145153329686076,0.2640763281712663,0,2.7057151919546905,0.00681574728748764,nodematch.work.dev,0.71 (0.26)
0.02399656560110969,0.05742333329393811,0,0.4178887609724127,0.6760284501721185,edgecov.m.collabs.info,0.02 (0.06)
-0.09720447299828627,0.09289248478413141,0,-1.0464191287828644,0.2953675648683793,edgecov.m.collabs.fin,-0.1 (0.09)
0.178781411113792,0.11776808229377983,0,1.5180803459787229,0.12899414516314137,edgecov.m.collabs.proj,0.18 (0.12)
0.06689131234466651,0.09076273458962723,0,0.7369909318742711,0.4611278639324777,edgecov.m.collabs.rep,0.07 (0.09)
-0.008999681888679136,0.07478859845080377,0,-0.12033494509994277,0.9042178230437368,edgecov.m.collabs.ta,-0.01 (0.07)
